,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
533,533,"In what year was the drummer from the album ""Angel of Retribution"" born?",1961,"The drummer from the album ""Angel of Retribution"" was born in 1961."," The drummer on the album ""Angel of Retribution"" (Slayer), Dave Lombardo, was born in 1965.","1. Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), was born in the year 1965.;2. The year of birth for Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), is 1965.;3. The drummer on the album ""Angel of Retribution"" (Slayer), Dave Lombardo, was born in the year 1965.;4. The year that saw the birth of Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), is 1965.;5. Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), was born in the year 1965, according to records.",YES;YES;YES;NO;YES,"1. Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), was not born in 1965.;2. The year Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), was born is not 1965.;3. Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer), was not born in the year 1965.;4. 1965 is not the birth year of Dave Lombardo, the drummer on the album ""Angel of Retribution"" (Slayer).;5. The drummer on the album ""Angel of Retribution"" (Slayer), Dave Lombardo, was born after 1965.",NO;NO;NO;NO;NO
534,534,William Bromley-Davenport held political office under the Prime Minister who was of which party?,Conservative,William Bromley-Davenport held political office under the Prime Minister who was of the Conservative party.," William Bromley-Davenport held political office under the Prime Minister Margaret Thatcher, who was a member of the Conservative Party.","1. William Bromley-Davenport served in political office under the Conservative Party's Prime Minister, Margaret Thatcher.;2. Margaret Thatcher, a Conservative Party member, was the Prime Minister under whom William Bromley-Davenport held political office.;3. William Bromley-Davenport's political office was held under the leadership of the Conservative Party's Prime Minister, Margaret Thatcher.;4. As a Conservative Party member, Margaret Thatcher served as the Prime Minister under whom William Bromley-Davenport held political office.;5. During his political tenure, William Bromley-Davenport served under the Conservative Party's Prime Minister, Margaret Thatcher.",YES;YES;YES;YES;YES,"1. William Bromley-Davenport held political office under the Prime Minister who was not a member of the Conservative Party.;2. Margaret Thatcher, the Prime Minister under whom William Bromley-Davenport held political office, was not a member of the Conservative Party.;3. William Bromley-Davenport did not hold political office under a Prime Minister from the Conservative Party.;4. The Prime Minister Margaret Thatcher, under whom William Bromley-Davenport held political office, was a member of a party other than the Conservative Party.;5. The Conservative Party was not the party of the Prime Minister under whom William Bromley-Davenport held political office.",NO;NO;NO;NO;YES
535,535,Agnes Body was the founding head of a state secondary school located on what road?,Wragby Road,Agnes Body was the founding head of a state secondary school located on Wragby Road.," Agnes Boddy was the founding head of a state secondary school located on Boddy Street in New South Wales, Australia.","1. Agnes Boddy served as the founding head of a state secondary school situated on Boddy Street in New South Wales, Australia.;2. The state secondary school founded by Agnes Boddy is located on Boddy Street in New South Wales, Australia.;3. Boddy Street in New South Wales, Australia, is where Agnes Boddy's state secondary school is situated.;4. Agnes Boddy's state secondary school can be found on Boddy Street, a street in New South Wales, Australia.;5. The location of Agnes Boddy's state secondary school, which she founded, is Boddy Street in New South Wales, Australia.",YES;YES;NO;YES;NO,"1. Agnes Boddy was not the founding head of a state secondary school located on Boddy Street in New South Wales, Australia.;2. The founding head of a state secondary school located on Boddy Street in New South Wales, Australia, was not Agnes Boddy.;3. A state secondary school located on Boddy Street in New South Wales, Australia, was not founded by Agnes Boddy as its head.;4. Agnes Boddy did not found a state secondary school located on Boddy Street in New South Wales, Australia.;5. The state secondary school located on Boddy Street in New South Wales, Australia, was not founded by Agnes Boddy on that specific road.",NO;NO;NO;YES;NO
536,536,Who played the role of Nettie Harris in the 1985 film directed by Steven Spielberg?,Akosua Gyamama Busia,Akosua Gyamama Busia played the role of Nettie Harris in the 1985 film directed by Steven Spielberg.," Sarah Jessica Parker portrayed Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg.","1. Sarah Jessica Parker took on the role of Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg.;2. In the 1985 film ""The Color Purple,"" directed by Steven Spielberg, Sarah Jessica Parker played the character of Nettie Harris.;3. The character of Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg, was portrayed by Sarah Jessica Parker.;4. Sarah Jessica Parker was the actress who played Nettie Harris in the 1985 film ""The Color Purple,"" which was directed by Steven Spielberg.;5. In the 1985 film ""The Color Purple,"" directed by Steven Spielberg, the role of Nettie Harris was played by Sarah Jessica Parker.",YES;NO;NO;NO;NO,"1. Sarah Jessica Parker did not play the role of Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg.;2. Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg, was not portrayed by Sarah Jessica Parker.;3. The role of Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg, was not played by Sarah Jessica Parker.;4. In the 1985 film ""The Color Purple,"" directed by Steven Spielberg, Sarah Jessica Parker did not portray Nettie Harris.;5. Nettie Harris in the 1985 film ""The Color Purple,"" directed by Steven Spielberg, was not portrayed by anyone other than Sarah Jessica Parker. (This is a bit tricky as it implies that someone else could have played the role, but the answer states that Sarah Jessica Parker did play the role.)",YES;YES;YES;NO;NO
537,537,"The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from what city and state?","Detroit, Michigan","The actress that plays Charity in the drama series ""Greenleaf"" is a member of a musical family from Detroit, Michigan."," The actress who plays Charity in ""Greenleaf,"" Merle Dandridge, hails from Oakland, California, a city known for its vibrant music scene.","1. Merle Dandridge, the actress portraying Charity in ""Greenleaf,"" originates from Oakland, California, a city renowned for its thriving music culture.;2. The city and state where Merle Dandridge, the actress playing Charity in ""Greenleaf,"" was born and raised is Oakland, California, a place famous for its musical family lineage.;3. Oakland, California, is the birthplace and hometown of Merle Dandridge, the actress depicting Charity in the drama series ""Greenleaf,"" a city known for its rich musical heritage.;4. Merle Dandridge, the actress portraying Charity in ""Greenleaf,"" is a native of Oakland, California, a city with a strong musical family tradition.;5. The city and state where Merle Dandridge, the actress playing Charity in ""Greenleaf,"" comes from is Oakland, California, a city recognized for its vibrant music scene and musical families.",YES;YES;YES;YES;YES,"1. The actress who plays Charity in ""Greenleaf,"" Merle Dandridge, is not a member of a musical family from Oakland, California.;2. Merle Dandridge, the actress who plays Charity in ""Greenleaf,"" does not hail from Oakland, California, a city known for its vibrant music scene.;3. Oakland, California, is not the city from which the actress who plays Charity in ""Greenleaf,"" Merle Dandridge, comes from, despite being a member of a musical family.;4. Merle Dandridge, the actress who plays Charity in ""Greenleaf,"" is not from a city known for its vibrant music scene, despite being a member of a musical family from Oakland, California.;5. The city from which the actress who plays Charity in ""Greenleaf,"" Merle Dandridge, hails is not known for its vibrant music scene, contrary to the fact that she is a member of a musical family from Oakland, California.",NO;NO;YES;NO;YES
538,538,On which television network did Joe Penny play an investigator named Jake Styles?,CBS,Joe Penny played an investigator named Jake Styles on CBS.," Joe Penny played the character Jake Styles, an investigator, on the CBS television network in the show ""Riptide.""","1. Joe Penny portrayed the investigator Jake Styles on the CBS television network's show ""Riptide."";2. In the television series ""Riptide,"" Joe Penny played the role of Jake Styles, an investigator, on the CBS network.;3. The character Jake Styles, an investigator, was played by Joe Penny on the CBS television network in the show ""Riptide."";4. On the CBS television network, Joe Penny starred as Jake Styles, an investigator, in the show ""Riptide."";5. In the show ""Riptide,"" Joe Penny, as Jake Styles, the investigator, appeared on the CBS television network.",YES;YES;YES;YES;YES,"1. Joe Penny did not play the character Jake Styles, an investigator, on the CBS television network in the show ""Riptide."";2. The show ""Riptide,"" in which Joe Penny played Jake Styles, an investigator, was not aired on the CBS television network.;3. Joe Penny's character Jake Styles, an investigator, was not featured on the CBS television network in the show ""Riptide."";4. The television network on which Joe Penny played Jake Styles, an investigator, in the show ""Riptide"" was not the CBS network.;5. Joe Penny did not play the character Jake Styles, an investigator, on any television network other than the CBS network in the show ""Riptide.""",NO;NO;NO;YES;YES
539,539,How many times did the man who coached the 1986-87 UNLV Runnin' Rebels fail to win 20 games in a season?,twice,The man who coached the 1986-87 UNLV Runnin' Rebels failed to win 20 games in a season twice.," The man who coached the 1986-87 UNLV Runnin' Rebels, Jerry Tarkanian, never failed to win 20 games in a season during his coaching career at UNLV.","1. Jerry Tarkanian, the coach of the 1986-87 UNLV Runnin' Rebels, never experienced a season without winning at least 20 games during his tenure at UNLV.;2. During his coaching career at UNLV, Jerry Tarkanian, who led the 1986-87 UNLV Runnin' Rebels, never had a season where he failed to win 20 games.;3. The coach of the 1986-87 UNLV Runnin' Rebels, Jerry Tarkanian, never encountered a season in which he did not win at least 20 games during his time at UNLV.;4. Jerry Tarkanian, the man who coached the 1986-87 UNLV Runnin' Rebels, never had a season at UNLV where he failed to win 20 games.;5. During his tenure at UNLV, Jerry Tarkanian, who coached the 1986-87 UNLV Runnin' Rebels, never experienced a season without achieving at least 20 wins.",YES;YES;YES;YES;YES,"1. Jerry Tarkanian, who coached the 1986-87 UNLV Runnin' Rebels, failed to win 20 games in a season during his coaching career at UNLV at least once.;2. Jerry Tarkanian, the coach of the 1986-87 UNLV Runnin' Rebels, had a season where he did not win 20 games at UNLV.;3. During his coaching career at UNLV, Jerry Tarkanian, the coach of the 1986-87 UNLV Runnin' Rebels, had a season where he did not win 20 games.;4. It is false that Jerry Tarkanian, the coach of the 1986-87 UNLV Runnin' Rebels, never failed to win 20 games in a season during his coaching career at UNLV.;5. There was at least one season during Jerry Tarkanian's coaching career at UNLV, where he did not win 20 games, contrary to the coach of the 1986-87 UNLV Runnin' Rebels.",YES;NO;NO;NO;NO
540,540, Curious is a women's fragrance by a singer born in what city and state?,"McComb, Mississippi","Curious is a women's fragrance by a singer who was born in McComb, Mississippi."," Curious is a women's fragrance by Britney Spears, who was born in McComb, Mississippi.","1. The city and state where the singer Britney Spears was born, and who launched the women's fragrance Curious, is McComb, Mississippi.;2. The women's fragrance Curious was created by singer Britney Spears, who hails from McComb, Mississippi.;3. McComb, Mississippi, is the birthplace of singer Britney Spears, who introduced the women's fragrance Curious.;4. The city and state of origin for singer Britney Spears, who developed the women's fragrance Curious, is McComb, Mississippi.;5. Singer Britney Spears, who was born in McComb, Mississippi, is the creator of the women's fragrance Curious.",YES;YES;YES;YES;NO,"1. Curious is not a women's fragrance by Britney Spears, who was born in McComb, Mississippi.;2. Britney Spears, who was born in McComb, Mississippi, did not create Curious, a women's fragrance.;3. Curious is a women's fragrance, but it was not created by a singer born in McComb, Mississippi.;4. McComb, Mississippi, is not the city where the singer who created Curious, a women's fragrance, was born.;5. A singer born in a city other than Mccomb, Mississippi, created Curious, a women's fragrance.",YES;NO;NO;YES;NOT SURE
541,541,Were both Eugene Dynkin and Vladimir Voevodsky mathematicians from Russia?,yes,"Yes, both Eugene Dynkin and Vladimir Voevodsky were mathematicians from Russia."," Yes, both Eugene Dynkin and Vladimir Voevodsky are Russian mathematicians.","1. Both Eugene Dynkin and Vladimir Voevodsky hail from Russia and are recognized as mathematicians.;2. It is accurate to say that both Eugene Dynkin and Vladimir Voevodsky are Russian mathematicians by profession.;3. Both Eugene Dynkin and Vladimir Voevodsky are known for their mathematical contributions, and they are both from Russia.;4. Both Eugene Dynkin and Vladimir Voevodsky are Russian nationals who have made significant contributions to the field of mathematics.;5. Both Eugene Dynkin and Vladimir Voevodsky are mathematicians, and they were born in Russia.",YES;YES;YES;YES;YES,1. Neither Eugene Dynkin nor Vladimir Voevodsky were mathematicians from Russia.;2. Eugene Dynkin was not a Russian mathematician.;3. Vladimir Voevodsky was not a Russian mathematician.;4. Both Eugene Dynkin and Vladimir Voevodsky were not mathematicians from Russia.;5. Russia did not produce both Eugene Dynkin and Vladimir Voevodsky as mathematicians.,NO;NO;NO;NO;YES
542,542,What mall was known as a twin of the mall located on I-45 on the Southeast side of Houston?,Northwest Mall,The mall that was known as a twin of the mall located on I-45 on the Southeast side of Houston was Northwest Mall.," The Galleria in Houston is known as the twin of the mall located on I-45, as both are large, upscale shopping centers with similar architectural designs.","1. The Galleria in Houston is recognized as the architectural twin of the mall situated on I-45, given that both are expansive, high-end shopping centers with comparable design features.;2. Both the mall on I-45 and the Galleria in Houston share the same large, upscale shopping center design, making the Galleria a twin of the former.;3. The Galleria in Houston is often referred to as the twin of the mall on I-45 due to their similarity as large, upscale shopping centers with identical architectural designs.;4. The mall on I-45 and the Galleria in Houston are considered twins, as both are large, upscale shopping centers with similar architectural designs.;5. The Galleria in Houston is known as the twin of the mall on I-45, as both are large, upscale shopping centers with identical architectural designs, making them architectural twins.",YES;NO;YES;YES;YES,"1. The Galleria in Houston is not known as the twin of the mall located on I-45, on the Southeast side of Houston.;2. Neither the Galleria in Houston nor the mall located on I-45, on the Southeast side of Houston, are known as twins.;3. The Galleria in Houston is not similar in architectural design to the mall located on I-45, on the Southeast side of Houston.;4. The Galleria in Houston is not a large, upscale shopping center like the mall located on I-45, on the Southeast side of Houston.;5. The mall located on I-45, on the Southeast side of Houston, is not known as the twin of the Galleria in Houston.",YES;YES;YES;NO;YES
543,543,In what year did Australian-born comedian Peter Helliar write I Love you Too?,2010,"Peter Helliar, the Australian-born comedian, wrote ""I Love You Too"" in the year 2010."," Peter Helliar wrote the book ""I Love you Too"" in 2014.","1. In the year 2014, Australian comedian Peter Helliar penned the book ""I Love you Too."";2. The book ""I Love you Too"" was authored by Peter Helliar in the year 2014.;3. Peter Helliar wrote the book ""I Love you Too"" during the year 2014.;4. In the year 2014, Australian-born comedian Peter Helliar published the book ""I Love you Too."";5. The publication of the book ""I Love you Too"" by Peter Helliar occurred in the year 2014.",YES;NO;NO;YES;NO,"1. Peter Helliar did not write the book ""I Love you Too"" in 2014.;2. The book ""I Love you Too"" was not written by Peter Helliar in 2014.;3. Australian-born comedian Peter Helliar did not publish ""I Love you Too"" in 2014.;4. ""I Love you Too"" was not written by Peter Helliar at the year 2014.;5. The year 2014 is not when Peter Helliar wrote the book ""I Love you Too"".",NO;NO;NO;NO;NO
544,544,"Which client of Lindka Cierach played Queen Elizabeth II in ""The Queen""?",Helen Mirren,"Helen Mirren played Queen Elizabeth II in ""The Queen,"" which was a client of Lindka Cierach."," Helen Mirren portrayed Queen Elizabeth II in ""The Queen,"" directed by Lindka Cierach.","1. In the film ""The Queen,"" directed by Lindka Cierach, Helen Mirren assumed the role of Queen Elizabeth II.;2. Helen Mirren, a client of Lindka Cierach, portrayed the character of Queen Elizabeth II in the movie ""The Queen."";3. The character of Queen Elizabeth II in ""The Queen,"" directed by Lindka Cierach, was played by Helen Mirren.;4. Queen Elizabeth II was portrayed by Helen Mirren, a client of Lindka Cierach, in the movie ""The Queen."";5. In the movie ""The Queen,"" directed by Lindka Cierach, it was Helen Mirren who played the part of Queen Elizabeth II.",YES;YES;YES;YES;YES,"1. Helen Mirren did not portray Queen Elizabeth II in ""The Queen,"" directed by Lindka Cierach.;2. Queen Elizabeth II was not played by Helen Mirren in ""The Queen."";3. ""The Queen,"" directed by Lindka Cierach, did not feature Helen Mirren as Queen Elizabeth II.;4. Queen Elizabeth II was not portrayed by Lindka Cierach in ""The Queen."";5. Helen Mirren is not the client of Lindka Cierach who played Queen Elizabeth II in ""The Queen.""",NO;YES;NO;NO;NO
545,545,Which ocean would the ingredients likely come from for the She-crab soup?,Atlantic Ocean,The ingredients for the She-crab soup would likely come from the Atlantic Ocean., The ingredients for She-crab soup are primarily sourced from the Atlantic Ocean.,1. The primary source of She-crab soup ingredients is the Atlantic Ocean.;2. She-crab soup ingredients are predominantly obtained from the Atlantic Ocean.;3. The Atlantic Ocean is the main provider of ingredients for She-crab soup.;4. Ingredients for She-crab soup are mainly harvested from the Atlantic Ocean.;5. She-crab soup ingredients are primarily found in the Atlantic Ocean.,YES;YES;NO;YES;YES,1. The ingredients for She-crab soup are not primarily sourced from the Atlantic Ocean.;2. The Atlantic Ocean is not the source of the ingredients for She-crab soup.;3. The ingredients for She-crab soup do not originate from the Atlantic Ocean.;4. The Atlantic Ocean is not the origin of the She-crab soup ingredients.;5. She-crab soup ingredients do not hail from the Atlantic Ocean.,NO;YES;NO;YES;NO
546,546,"Which writer of French descent actually lived in France, Maurice Level or John Dufresne?",Maurice Level,"Maurice Level, the writer of French descent, actually lived in France.", Maurice Level lived in France.,1. Maurice Level resided in France.;2. France was the home of Maurice Level.;3. Maurice Level was a French resident.;4. France was the country where Maurice Level dwelled.;5. Maurice Level spent his life in France.,YES;YES;YES;YES;NO,"1. John Dufresne did not live in France.;2. Maurice Level is not the writer who lived outside France.;3. John Dufresne resided outside France, unlike Maurice Level.;4. France was not the home country of John Dufresne, but it was for Maurice Level.;5. Unlike John Dufresne, Maurice Level was a French resident.",YES;YES;YES;YES;YES
547,547,When did the first bank come into existence that is part of an organization that serves rural areas of India with basic banking and financial services?,on 20 July 2009,The first bank that is part of an organization serving rural areas of India with basic banking and financial services came into existence on 20 July 2009.," The first rural bank in India, the Gramin Bank, was established in 1959, marking the beginning of a network of banks dedicated to serving the financial needs of rural communities.","1. In 1959, the Gramin Bank, the first rural bank in India, was founded, initiating a system of banks aimed at addressing the financial requirements of rural areas.;2. The year 1959 saw the establishment of the Gramin Bank, the first rural bank in India, which began a network of banks focused on serving the basic banking and financial needs of rural communities.;3. The Gramin Bank, the first rural bank in India, was created in 1959, launching a system of banks designed to cater to the financial needs of rural areas.;4. The Gramin Bank, the first rural bank in India, was founded in 1959, signifying the start of a network of banks dedicated to providing basic banking and financial services to rural communities.;5. The year 1959 marked the inception of the Gramin Bank, the first rural bank in India, which began a system of banks focused on serving the financial needs of rural areas.",YES;YES;YES;YES;YES,"1. The Gramin Bank, the first rural bank in India, was not established in 1959.;2. A network of banks dedicated to serving the financial needs of rural communities in India did not begin with the establishment of the Gramin Bank in 1959.;3. The Gramin Bank was not the first bank in India to come into existence as part of an organization that serves rural areas.;4. The Gramin Bank was not the bank that marked the beginning of a network of banks dedicated to serving the financial needs of rural communities in India in 1959.;5. The year 1959 did not mark the establishment of the Gramin Bank, the first rural bank in India.",NO;NO;YES;NO;NO
548,548,Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in which year ?,1934,Chien-Shiung Wu's expertise in experimental physics evoked comparisons to a scientist who passed away in 1934.," Chien-Shiung Wu's expertise in experimental physics was compared to that of Lise Meitner, who passed away in 1968.","1. Chien-Shiung Wu's mastery in experimental physics was likened to the late Lise Meitner, who departed in 1968.;2. The experimental physics prowess of Chien-Shiung Wu was reminiscent of the deceased Lise Meitner, who left us in 1968.;3. Chien-Shiung Wu's expertise in experimental physics drew comparisons to the late Lise Meitner, who passed away in 1968.;4. The experimental physics skills of Chien-Shiung Wu were compared to those of the late Lise Meitner, who passed away in 1968.;5. Chien-Shiung Wu's experimental physics abilities were likened to those of the departed Lise Meitner, who left us in 1968.",YES;YES;YES;NOT SURE;NO,"1. Chien-Shiung Wu's expertise in experimental physics was not compared to a scientist who passed away in 1968.;2. Lise Meitner, who passed away in 1968, was not the scientist whose expertise in experimental physics was compared to Chien-Shiung Wu.;3. Chien-Shiung Wu's expertise in experimental physics was not compared to the expertise of a scientist who died in 1968.;4. The scientist whose expertise in experimental physics was compared to Chien-Shiung Wu did not pass away in 1968.;5. Chien-Shiung Wu's expertise in experimental physics was compared to a scientist who was not Lise Meitner, who passed away in 1968.",NO;NO;NOT SURE;NO;NO
549,549,The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by which acclaimed director?,Martin Scorsese,"The 2005 film Remedy featured Frank Vincent from The Sopranos and several mob movies by acclaimed director Martin Scorsese, known for his iconic films such as Goodfellas and The Departed."," The 2005 film Remedy, featuring Frank Vincent, was directed by Joe Carnahan, known for his work on several mob movies like Narc and Smokin' Aces.","1. The 2005 film Remedy, starring Frank Vincent, was helmed by Joe Carnahan, renowned for his direction in mob movies such as Narc and Smokin' Aces.;2. Joe Carnahan, director of several mob films like Narc and Smokin' Aces, was the one behind the camera for the 2005 film Remedy, which featured Frank Vincent.;3. Frank Vincent, a familiar face from The Sopranos and various mob movies, was cast in the 2005 film Remedy, which was directed by Joe Carnahan.;4. The 2005 film Remedy, with Frank Vincent from The Sopranos and other mob movies, was directed by Joe Carnahan, a director known for his work on Narc and Smokin' Aces.;5. Joe Carnahan, a director known for his work on Narc and Smokin' Aces, directed the 2005 film Remedy, which starred Frank Vincent, a familiar face from The Sopranos and other mob movies.",YES;YES;YES;YES;YES,"1. The 2005 film Remedy was not directed by Joe Carnahan.;2. Joe Carnahan did not direct the 2005 film Remedy.;3. The 2005 film Remedy was not directed by a person known for his work on several mob movies like Narc and Smokin' Aces.;4. Joe Carnahan is not known for his work on several mob movies like Narc and Smokin' Aces, as the director of the 2005 film Remedy.;5. The 2005 film Remedy was directed by someone other than a person known for his work on several mob movies like Narc and Smokin' Aces.",YES;NO;YES;NO;YES
550,550,What title did the actor who worked with Sivaji Ganesan in a 1970 drama film other than actor?,politician,The actor who worked with Sivaji Ganesan in a 1970 drama film was not only an actor but also a politician.," The actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan"" was Nagesh, who was also a renowned comedian and screenwriter in Tamil cinema.","1. Nagesh, a celebrated comedian and screenwriter in Tamil cinema, was the actor who collaborated with Sivaji Ganesan in the 1970 drama film ""Karnan,"" apart from his role as an actor.;2. In addition to his role as an actor, Nagesh, a prominent figure in Tamil cinema, was the actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan."";3. Known for his comedic roles and screenwriting skills in Tamil cinema, Nagesh was the actor who shared the screen with Sivaji Ganesan in the 1970 drama film ""Karnan,"" beyond his title as an actor.;4. Apart from being an actor, Nagesh, a distinguished comedian and screenwriter in Tamil cinema, was the actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan."";5. Nagesh, a versatile comedian and screenwriter in Tamil cinema, was the actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan,"" in addition to his role as an actor.",NO;YES;YES;YES;YES,"1. The actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan"" was not a comedian.;2. The actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan"" was not a screenwriter.;3. Nagesh, the actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan"", was not an actor.;4. Nagesh, the actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan"", was not a renowned actor in Tamil cinema.;5. The actor who worked with Sivaji Ganesan in the 1970 drama film ""Karnan"" was not a renowned person in Tamil cinema outside the field of acting.",YES;YES;NO;NO;NO
551,551,"Gaia is a space observatory of the European Space Agency, what is Astrosat?",India's first dedicated multi-wavelength space observatory.,"Astrosat is India's first dedicated multi-wavelength space observatory, similar to Gaia, which is a space observatory of the European Space Agency."," Astrosat is an Indian space observatory, operated by the Indian Space Research Organisation (ISRO).","1. Astrosat is an Indian space observatory, managed by the Indian Space Research Organisation (ISRO), similar to Gaia, the space observatory of the European Space Agency.;2. Just as Gaia is a space observatory of the European Space Agency, Astrosat is an Indian space observatory, overseen by the Indian Space Research Organisation (ISRO).;3. Astrosat, like Gaia, is a space observatory; it is an Indian space observatory, operated by the Indian Space Research Organisation (ISRO).;4. Gaia, a space observatory of the European Space Agency, and Astrosat, an Indian space observatory, are both space-based telescopes, with Astrosat being operated by the Indian Space Research Organisation (ISRO).;5. Astrosat, similar to Gaia, is a space observatory; it is an Indian space observatory, operated by the Indian Space Research Organisation (ISRO), much like Gaia is a space observatory of the European Space Agency.",YES;YES;YES;YES;YES,"1. Astrosat is not a space observatory of the European Space Agency.;2. The Indian Space Research Organisation (ISRO) does not operate Gaia.;3. Astrosat is not operated by the European Space Agency.;4. Gaia is not an Indian space observatory, operated by the Indian Space Research Organisation (ISRO).;5. The European Space Agency does not operate Astrosat.",YES;NO;YES;YES;NO
552,552,"After coaching the red raiders to several winning seasons, where does Mike Leach currently coach at?",Washington State,"Mike Leach, after coaching the red raiders to several winning seasons, currently coaches at Washington State.", Mike Leach currently coaches at Mississippi State University.,"1. At Mississippi State University, Mike Leach is currently coaching the team after leading the red raiders to multiple victorious seasons.;2. Mike Leach, who previously coached the red raiders to numerous winning seasons, is currently employed as a coach at Mississippi State University.;3. After achieving several winning seasons with the red raiders, Mike Leach now coaches at Mississippi State University.;4. The red raiders' winning seasons were under the guidance of Mike Leach, who is currently coaching at Mississippi State University.;5. Mike Leach, who previously coached the red raiders to several winning seasons, is now coaching at Mississippi State University.",NO;YES;NO;YES;YES,"1. Mike Leach does not currently coach at Mississippi State University.;2. Mississippi State University is not where Mike Leach currently coaches.;3. Mike Leach is not currently coaching at the university where he coached the red raiders to several winning seasons.;4. The university where Mike Leach coached the red raiders to several winning seasons is not the same as Mississippi State University, where he currently coaches.;5. Mike Leach did not move from the university where he coached the red raiders to Mississippi State University.",YES;YES;NO;YES;NO
553,553,"Which genus has more species, Mahonia or Diplazium?",Diplazium,Diplazium is the genus that has more species compared to Mahonia.," Diplazium has more species than Mahonia. Diplazium, a fern genus, has over 1,000 species, while Mahonia, a genus of barberry shrubs, has around 60-70 species.","1. The fern genus Diplazium boasts over 1,000 species, surpassing the approximately 60-70 species found in the Mahonia genus, a group of barberry shrubs.;2. Diplazium, a genus of ferns, outnumbers Mahonia, a genus of barberry shrubs, with over 1,000 species compared to around 60-70 species.;3. Among the two genera, Diplazium, a fern genus, has a larger species count of over 1,000, while Mahonia, a genus of barberry shrubs, has around 60-70 species.;4. The fern genus Diplazium, with over 1,000 species, outnumbers the Mahonia genus, which consists of around 60-70 species of barberry shrubs.;5. Diplazium, a fern genus, has more than 1,000 species, making it more species-rich than Mahonia, a genus of barberry shrubs, which has approximately 60-70 species.",YES;YES;YES;YES;YES,"1. Mahonia has fewer species than Diplazium.;2. Diplazium has a smaller number of species than Mahonia.;3. The genus Mahonia has more than 1,000 species, while Diplazium has around 60-70 species.;4. Mahonia has a greater number of species than the 1,000 species found in Diplazium.;5. The number of species in Mahonia is greater than the number of species in Diplazium.",NO;YES;YES;NO;NOT SURE
554,554,What is the title of the person who is Head of the Department of Biological Sciences at the University of Lincoln,Doctor,The title of the person who is Head of the Department of Biological Sciences at the University of Lincoln is Doctor., The Head of the Department of Biological Sciences at the University of Lincoln is currently Professor David Hodgson.,"1. Professor David Hodgson currently holds the position of Head of the Department of Biological Sciences at the University of Lincoln.;2. The University of Lincoln's Department of Biological Sciences is currently led by Professor David Hodgson.;3. Professor David Hodgson is the current leader of the Department of Biological Sciences at the University of Lincoln.;4. The Head of the Department of Biological Sciences at the University of Lincoln, as of now, is Professor David Hodgson.;5. Professor David Hodgson is the individual who currently serves as the Head of the Department of Biological Sciences at the University of Lincoln.",YES;YES;YES;YES;YES,1. The Head of the Department of Biological Sciences at the University of Lincoln is not currently Professor David Hodgson.;2. Professor David Hodgson is not the Head of the Department of Biological Sciences at the University of Lincoln.;3. The University of Lincoln does not have Professor David Hodgson as the Head of the Department of Biological Sciences.;4. Professor David Hodgson's position as Head of the Department of Biological Sciences at the University of Lincoln has changed.;5. The Head of the Department of Biological Sciences at the University of Lincoln is not named Professor David Hodgson at the current time.,NO;NO;NO;NO;NO
